Protein IDs	Gene names	Peptides	Intensity
P00000	QseB	8	815870001.620101
P00001	PmrA	16	2317247147.083278
P00002	BfpR	12	40877836.45807644
P00003	KdpE	9	34590401.00136129
P00004	QseC	8	1377978119.8706832
P00005	KdpD	12	878713396.7625884
P00006	FTN_1453	12	800691030.327708
P00007	IglA	5	970087099.7565446
P00008	IglB	9	124516719.35279787
P00009	IglC	4	772009485.1073099
P00010	IglD	3	871864819.7185488
P00011	PdpA	13	116255064.13647963
P00012	PdpB	7	20252600100.670944
P00013	ChiA	3	1251571554.039281
P00014	ChiB	2	44785411.38361039
P00015	CbpA	13	1803702290.0280933
P00016	PepO	13	69070388.06951775
P00017	Gene0	18	2341761374.9175825
P00018	Gene1	11	4923035545.6274805
P00019	Gene2	17	93984023.52571078
P00020	Gene3	16	3331712451.604095
P00021	Gene4	16	1107711324.5023782
P00022	Gene5	13	2511435452.3525887
P00023	Gene6	4	21548799952.957233
P00024	Gene7	6	296994378.20771116
P00025	Gene8	8	107449085.62934342
P00026	Gene9	10	81896854.43911912
P00027	Gene10	8	94904286.39660291
P00028	Gene11	19	415833950.5343977
P00029	Gene12	5	959865712.3120043
P00030	Gene13	15	843762486.3343793
P00031	Gene14	19	2537300349.127433
P00032	Gene15	10	497946790.92868835
P00033	Gene16	3	8880006752.036158
P00034	Gene17	16	285766709.115369
P00035	Gene18	8	111840359873.43997
P00036	Gene19	13	1695654595.9556892
P00037	Gene20	9	87371953.1688465
P00038	Gene21	16	56980234.57823904
P00039	Gene22	4	1273385362.2736716
P00040	Gene23	15	310307540.35979784
P00041	Gene24	18	2023310742.607871
P00042	Gene25	5	1250082328.8191788
P00043	Gene26	19	419402725.37665063
P00044	Gene27	9	89201870.21472108
P00045	Gene28	5	23448229.539584275
P00046	Gene29	3	198633126.51976323
P00047	Gene30	7	2689974601.373355
P00048	Gene31	11	744473256.6794446
P00049	Gene32	5	40165639.23049827
P00050	Gene33	19	685981935.1222346
P00051	Gene34	13	1048508756.2188324
P00052	Gene35	3	82828695.85384579
P00053	Gene36	11	659801910.2110567
